time,temperature,humidity
2025-01-25 15:41:36,31.30,45.80
2025-01-25 15:41:40,31.30,46.00
2025-01-25 15:41:43,31.20,45.90
2025-01-25 15:41:46,31.20,45.90
2025-01-25 15:41:49,31.20,45.90
2025-01-25 15:41:53,31.20,46.00
2025-01-25 15:41:56,31.20,46.00
2025-01-25 15:41:59,31.30,46.10
2025-01-25 15:42:03,31.40,46.30
2025-01-25 15:42:06,31.40,46.40
2025-01-25 15:42:09,31.40,46.30
2025-01-25 15:42:12,31.40,46.20
2025-01-25 15:42:16,31.40,46.20
2025-01-25 15:42:19,31.40,46.30
2025-01-25 15:42:22,31.40,46.60
2025-01-25 15:42:26,31.40,46.80
2025-01-25 15:42:29,31.40,46.70
2025-01-25 15:42:32,31.40,46.50
2025-01-25 15:42:35,31.40,46.30
2025-01-25 15:42:39,31.40,46.20
2025-01-25 15:42:42,31.30,46.20
2025-01-25 15:42:45,31.20,46.10
2025-01-25 15:42:49,31.20,46.00
2025-01-25 15:42:52,31.20,45.90
2025-01-25 15:42:55,31.20,45.80
2025-01-25 15:42:58,31.20,45.70
2025-01-25 15:43:02,31.20,45.60
2025-01-25 15:43:05,31.20,45.60
2025-01-25 15:43:08,31.20,45.60
2025-01-25 15:43:12,31.20,45.60
2025-01-25 15:43:15,31.20,45.60
2025-01-25 15:43:18,31.20,45.70
2025-01-25 15:43:21,31.20,51.60
2025-01-25 15:43:25,31.50,60.20
2025-01-25 15:43:28,31.60,66.80
2025-01-25 15:43:31,31.60,70.80
2025-01-25 15:43:35,32.00,75.20
2025-01-25 15:43:38,32.10,78.00
2025-01-25 15:43:41,32.30,80.30
2025-01-25 15:43:44,32.30,85.00
2025-01-25 15:43:48,32.80,87.50
2025-01-25 15:43:51,33.10,89.20
2025-01-25 15:43:54,33.30,91.00
2025-01-25 15:43:57,33.50,90.80
2025-01-25 15:44:01,33.60,89.20
2025-01-25 15:44:04,33.60,86.10
2025-01-25 15:44:07,33.60,81.10
2025-01-25 15:44:11,33.60,76.50
2025-01-25 15:44:14,33.50,72.90
2025-01-25 15:44:17,33.50,69.20
2025-01-25 15:44:20,33.40,66.60
2025-01-25 15:44:24,33.30,63.80
2025-01-25 15:44:27,33.20,60.90
2025-01-25 15:44:30,33.10,58.60
2025-01-25 15:44:34,33.10,56.70
2025-01-25 15:44:37,33.00,54.50
2025-01-25 15:44:40,33.00,53.00
2025-01-25 15:44:43,32.70,52.10
2025-01-25 15:44:47,32.60,51.00
2025-01-25 15:44:50,32.30,50.00
2025-01-25 15:44:53,32.30,49.20
2025-01-25 15:44:56,32.30,48.40
2025-01-25 15:45:00,32.30,47.70
2025-01-25 15:45:03,32.30,47.30
2025-01-25 15:45:06,32.30,46.90
2025-01-25 15:45:10,32.30,46.50
2025-01-25 15:45:13,32.30,46.20
2025-01-25 15:45:16,32.30,45.90
2025-01-25 15:45:19,32.30,45.70
2025-01-25 15:45:23,32.30,45.80
2025-01-25 15:45:26,32.30,45.70
2025-01-25 15:45:29,32.30,45.50
2025-01-25 15:45:32,32.30,45.30
2025-01-25 15:45:36,32.20,45.20
2025-01-25 15:45:39,32.20,45.10
2025-01-25 15:45:42,32.20,45.10
2025-01-25 15:45:46,32.10,45.10
2025-01-25 15:45:49,32.10,44.90
2025-01-25 15:45:52,32.10,44.80
2025-01-25 15:45:55,32.10,44.70
2025-01-25 15:45:59,32.10,44.60
2025-01-25 15:46:02,32.00,44.60
2025-01-25 15:46:05,32.00,44.60
2025-01-25 15:46:09,32.00,44.50
2025-01-25 15:46:12,32.00,44.50
2025-01-25 15:46:15,32.00,44.90
2025-01-25 15:46:18,32.00,44.90
2025-01-25 15:46:22,32.00,44.80
2025-01-25 15:46:25,32.00,44.80
2025-01-25 15:46:28,32.00,44.80
2025-01-25 15:46:31,32.00,44.80
2025-01-25 15:46:35,31.70,44.80
2025-01-25 15:46:38,31.60,45.00
2025-01-25 15:46:41,31.60,45.00
2025-01-25 15:46:45,31.60,44.90
2025-01-25 15:46:48,31.60,44.90
2025-01-25 15:46:51,31.60,44.90
2025-01-25 15:46:55,31.60,44.90
2025-01-25 15:46:58,31.60,44.90
2025-01-25 15:47:01,31.60,44.80
2025-01-25 15:47:04,31.60,44.80
2025-01-25 15:47:08,31.60,44.80
2025-01-25 15:47:11,31.60,44.70
2025-01-25 15:47:14,31.60,44.70
2025-01-25 15:47:17,31.60,44.60
2025-01-25 15:47:21,31.60,44.60
2025-01-25 15:47:24,31.60,44.60
2025-01-25 15:47:27,31.60,44.60
2025-01-25 15:47:31,31.60,44.70
2025-01-25 15:47:34,31.60,44.90
2025-01-25 15:47:37,31.60,45.00
2025-01-25 15:47:40,31.60,45.10
2025-01-25 15:47:44,31.60,45.20
2025-01-25 15:47:47,31.60,45.40
2025-01-25 15:47:50,31.60,45.40
2025-01-25 15:47:53,31.60,45.30
2025-01-25 15:47:57,31.60,45.30
2025-01-25 15:48:00,31.60,45.40
2025-01-25 15:48:03,31.60,45.50
2025-01-25 15:48:07,31.60,45.60
2025-01-25 15:48:10,31.60,45.60
2025-01-25 15:48:13,31.60,45.60
2025-01-25 15:48:16,31.60,45.60
